Sno.,PName,Desc,Keywords,Date,Plink
258,Be-B Braille Educaton Ball,"---- PROTOTYPE --------- PURPOSE: To create a prototype educational game/toy to assist in sighted, visually-impaired, and blind individuals to learn Braille characters. The prototype, be-B: Braille Education Ball was created for and entered in Game Changers Competition for global game design held by DESIGN 21. The be-B: Braille Education Ball is a method for both blind and sighted users to learn the Braille system using a challenging and educational game. The be-B consists of a ball and 26 magnetically attached pegs. On one side of each peg is a letter from the modern Latin alphabet, on the other is the corresponding Braille character. Each of these pegs has a matching hole in the ball. The object of the game is to match up each of the letters with its corresponding hole. Each time a peg is placed in a hole and that hole is correct, a chime sounds and the name of the letter is spoken. TITLE: Braille Ball for All to Learn. WEBSITE: Yanko Design. REF: http://www.yankodesign.com/2010/06/30/braille-ball-for-all-to-learn.","['REF', 'Braille Ball', 'Latin alphabet', 'object', 'blind', 'game', 'Braille Education Ball', 'Game Changers Competition', 'name', 'Braille system', 'method', 'peg', 'chime', 'TITLE', 'ball', 'game/toy', 'be-B', 'Design', 'DESIGN', 'challenging', 'user', 'game design', 'individual', 'Braille characters', 'All', 'Learn', 'letter', 'http', 'time', 'side', 'Braille character', 'prototype', '//www.yankodesign.com/2010/06/30/braille-ball-for-all-to-learn', 'WEBSITE', 'hole', 'PURPOSE', 'consists', 'PROTOTYPE']",07/28/2010,https://abledata.acl.gov/product/be-b-braille-educaton-ball
259,Note-Taker,"The Note-Taker device is a prototype for visually impaired students to be able to listen, watch, and take notes all at the same time. It was developed by David Hayden, at the end of his junior year at Arizona State University, when he submitted his invention to the worldwide Microsoft Imagine Cup competition (in the “touch and tablet” category).The device is designed help students with low vision follow classroom instruction and take notes as easily as fully sighted students. The split-screen interface enables students with visual impairments to glance back and forth between the live video view of the classroom presentation and their notes. The video window allows the user to aim and zoom the camera by using simple dragging, tapping or pinching motions within the video window.The Note-Taker is portable, requires no installation in the classroom, and there is no delay when transitioning between taking your notes and viewing the board. The Note-Taker sits flat on a desk. On one half of the screen is a digital note pad, where users enter handwritten notes; on the other half is live, streaming video from a camera that points at a target such as a chalkboard. In the video window the user can ""drag"" the live picture and the motors on the camera will pan and tilt to readjust its position. ","['“ touch', 'vision follow classroom instruction', 'help students', '.The device', 'position', 'video window', 'note', 'student', 'chalkboard', 'tablet ” category', 'classroom presentation', 'installation', 'impairment', 'user', 'watch', 'David Hayden', 'year', 'Note-Taker', 'motor', 'video', 'board', 'worldwide Microsoft Imagine Cup competition', 'picture', 'classroom', 'Note-Taker device', 'video view', 'invention', 'time', 'camera', 'delay', 'end', 'half', 'motion', 'screen', 'target', 'interface', 'Note-Taker sits', 'prototype', 'Arizona State University', 'forth', 'desk', 'note pad', 'dragging']",02/16/2016,https://abledata.acl.gov/product/note-taker-0
260,Victor Reader Stream,"The Victor Reader Stream is a handheld media player for the blind or visually impaired that is designed to plays DAISY books, MP3, MP4, EPUB, and many other media formats including 36,000 web radio stations, music, audiobooks, and more. Also features wireless capability and Text to Speech capability. ","['music', 'Speech capability', 'media formats', 'DAISY books', 'Text', 'EPUB', 'blind', 'MP3', 'media player', 'radio stations', 'Victor Reader Stream', 'capability', 'MP4']",07/08/2016,https://abledata.acl.gov/product/victor-reader-stream-0
261,BlindSquare,"BlindSquare is a navigational smartphone app designed to help individuals who are blind or visually impaired with orientation and mobility. Using the iOS device’s GPS capabilities, BlindSquare looks up information about the environment on Foursquare (a smartphone app that provides information about nearby venues) and OpenStreetMap (an editable online map of the world) to determine the user’s location. It then speaks this information aloud in a clear, synthetic voice. BlindSquare can announce the current address, convey information about the location of the nearest street intersection, describe nearby venues, sort location findings by popularity or distance, track the user’s destination, and announce the distance and direction while traveling. For example, with BlindSquare, users can find the most popular café within a 200 meter radius or locate the nearest post office. Users can access turn-by-turn navigation using third-party GPS-apps installed on the device, such as Apple Maps or Google Maps. BlindSquare runs on the iPhone and the iPad. It requires internet connection as well as VoiceOver, the screen reader that comes with iOS devices. BlindSquare also supports Braille displays, so individuals who are deaf blind can use it as well.","['smartphone app', 'connection', 'Foursquare', 'online map', 'information', 'café', 'screen reader', 'mobility', 'OpenStreetMap', 'BlindSquare', 'navigation', 'sort location findings', 'Braille displays', 'device ’ s GPS capabilities', 'Apple Maps', 'popularity', 'venue', 'device', 'access', 'user', 'information aloud', 'world', 'iPad', 'user ’ s destination', 'orientation', 'individual', 'VoiceOver', 'location', 'distance', 'example', 'street intersection', 'Google Maps', 'direction', 'GPS-apps', 'environment', 'iPhone', 'address', 'Users', 'meter radius', 'voice', 'user ’ s location', 'post office']",09/08/2016,https://abledata.acl.gov/product/blindsquare
262,BrailleTouch,"BrailleTouch is a prototype app that allows visually impaired people to easily type or text without looking at the screen. It is based on the familiar six-key braille keyboard, as found on the Perkins Brailler and many electronic braille notetakers. With BrailleTouch, a user can send text messages, emails, and tweets from the BrailleTouch keyboard, and copy the text they type in braille to paste into any other app on their iPhone.","['braille', 'message', 'braille keyboard', 'Perkins Brailler', 'screen', 'text', 'braille notetakers', 'tweet', 'prototype app', 'app', 'BrailleTouch', 'BrailleTouch keyboard', 'people', 'email', 'iPhone', 'user']",10/24/2016,https://abledata.acl.gov/product/brailletouch-0
263,Hear2Read Tamil Text to Speech,"Hear2Read Tamil Text to Speech is a functional text-to-speech application designed for the visually impaired that reads Tamil, the Dravidian language of the Tamils in India. The app is the first of a series of Text-To-Speech (TTS) plug-in engine for Indic languages. It was developed jointly by www.Hear2Read.org and Carnegie Mellon University. The App plugs in Android TTS framework such that it can be used by any applications (including Talkback) to Read Tamil text by listening to machine generated speech. People with visual impairments can use it to read Tamil content by turning on Talkback under Accessibility in Settings.","['plug-in engine', 'language', 'app', 'Accessibility', 'Carnegie Mellon University', 'Talkback', 'Android TTS framework', 'series', 'www.Hear2Read.org', 'Settings', 'TTS', 'Tamil text', 'impairment', 'speech', 'machine', 'Tamil', 'Indic languages', 'People', 'application', 'Hear2Read Tamil Text', 'Speech', 'India', 'Text-To-Speech', 'Tamils', 'Tamil content', 'App plugs']",03/06/2017,https://abledata.acl.gov/product/hear2read-tamil-text-speech
264,ViewPlus EmBraille Single-Sided Braille Embosser,"The ViewPlus EmBraille Single-Sided Braille Embosser is a compact and lightweight Braille embosser designe for users who are blind or have low vision. The VP EmBraille can be used in the classroom, at work, or at home. The Braille dot can be adjusted in height, allowing to adjust to the individuals sensibility of the reader's fingertip allowing for extended Braille reading.Produces Braille text combined with tactile graphics. Unique feature of tactile graphics is touchable representation of colors through variable dot heights. What is seen on the screen is what the embosser prints, producing lower tactile dots for lighter colors and higher tactile dots for darker colors.Features the TigerPlus Braille system which allows users to choose between different Braille dot spacing standards to be embossed along with 100 DPI resolution tactile graphics. The wider paper format helps to adjust detailed tactile graphics to a low sensory resolution helping the visually impaired to get a better grasp on the information.","['information', 'ViewPlus EmBraille Single-Sided Braille Embosser', 'graphic', 'work', 'height', 'paper format', 'resolution', 'standard', 'fingertip', 'tactile dots', 'color', 'grasp', 'user', 'VP EmBraille', 'home', 'darker', 'individuals sensibility', 'classroom', 'DPI resolution tactile graphics', 'Braille dot', 'vision', 'Braille embosser designe', 'Braille reading.Produces Braille text', 'representation', 'Unique feature', 'screen', 'embosser prints', 'TigerPlus Braille system', 'dot', 'reader']",04/25/2018,https://abledata.acl.gov/product/viewplus-embraille-single-sided-braille-embosser
265,Kid Works 2,"Kid Works 2 is a reading tutorial program designed to teach children to write and illustrate their own story for individuals with a developmental or physical disability. This program combines a word processor and picture dictionary with paint tools, rubber stamps, and icons that allow students to express themselves through words and pictures as they write original stories. A simple click of the mouse changes words into pictures and pictures into words. The Story illustrator lets the students ""paint"" pictures with special effect brushes, stamps, and line, shape and text tools. Story Player lets students listen to the story as the computer reads it out loud. They can use Icon Maker to edit their own picture-word symbols. A built in speech dictionary lets users edit and add words. This program is TouchWindow (see separate entry) accessible for students with a physical disability. COMPATIBILITY: Macintosh, Windows, and DOS. SYSTEM REQUIREMENTS: For Macintosh: Macintosh Classic, LC, SE, II Series; System 6.0.7 or greater; 2 MB RAM (4 MB for System 7.0); supports black and white and color; hard disk. For Windows: 12MHz 286 or faster; 640K; VGA only; sound card; DOS 5.0 recommended; printer is optional. For DOS: IBM or compatible; DOS 3.3 or higher; 640K; 3.5 inch disk drive; VGA; hard drive; mouse. Sound card recommended: supports Sound Blaster, Echo PC, Digispeech (see separate entries). OPTIONS: Special options are available for the visually impaired.","['Macintosh Classic', 'TouchWindow', 'child', 'disk drive', 'COMPATIBILITY', 'rubber stamps', 'Kid', 'Windows', 'Digispeech', 'OPTIONS', 'computer', 'lets users edit', 'DOS', 'developmental', 'supports Sound Blaster', 'click', 'paint', 'Sound card', 'student', 'II Series', 'disk', 'Story illustrator', 'System', 'icon', 'MB', 'line', 'drive', 'SYSTEM', 'picture-word symbols', 'color', 'speech', 'VGA', 'mouse', 'shape', 'accessible', 'SE', 'option', 'word', 'story', 'individual', 'text tools', 'Echo PC', 'picture', 'word processor', 'effect brushes', 'disability', 'printer', 'LC', 'program', 'MB RAM', 'stamp', 'entry', 'Macintosh', 'IBM', 'card', 'Story Player', 'Icon Maker', 'paint tools']",04/23/2003,https://abledata.acl.gov/product/kid-works-2
266,D.I.Y. Toy Bar/Gym,"--- ""DO IT YOURSELF"" ENTRY ------- PURPOSE: To allow children with cortical blindness MATERIALS USED: 2 right angles, 3 opening 1 inch diameter “T” connectors, 4 right angles, 2 opening 1 inch diameter “elbow” connectors, 4 right angles, 3 opening 1 inch diameter “corner” connectors, Nine 2 foot long pieces of 1 inch diameter PVC piping**, Four 1 foot long pieces of 1 inch diameter PVC piping**, Elastic bands (typical white elastic bands, found at fabric and arts & crafts stores), Toy rings, 2 right angle, 3 opening 1 inch diameter “T” connectors. **you can either ask the hardware store for these specific lengths and they will cut it for you, or purchase/use a PVC pipe cutter to cut the piping to the right length. PREPPARATION: PVC Pipe Toy Gym Assembly (see Image 1 for reference) Construct sides of gym: 1) Attach three 2 foot long PVC pipes together with 2 “elbow” connectors to make a U-shaped side. 2) Repeat step 1 with three more 2 foot long PVC pipe and 2 more “elbow” connectors to make the other side. 3) Attach one right angle 3 opening “corner” connector to each end of each “U” side. Construct top of gym: 4) Attach one 2 foot PVC pipe to 2nd opening of 3 opening “corner” connector on one end of each “U” piece. 5) Connect the two “U” sides together by attaching one 2 foot PVC pipe from one “U” piece to the 2nd opening of the 3 opening “corner” connector on the other “U” side. This should create a box like structure and the 3rd opening of the “corner” connector should be facing inward. 6) Connect the one 1 foot long PVC pipe to each remaining opening of the 4 “corner” connectors. 7) Connect two 1 foot long PVC pipes on PVC Gym together with 1 right angle “T” connector. 8) Repeat Step 7 for the other side. 9) Attach one 2 foot long PVC pipe across the middle of the top of the PVC gym between the two “T” connectors. Toy Attachment 1) Find visually interesting (shiny objects, high contrast objects, noisy objects, different textured objects). 2) Tie one end of elastic to the object and the other to a shower curtain ring or toy rings 3) Attach toy rings to toy bar 4) For added interest PVC pipes can be covered with homemade fabric sleeves (see Image 2 for reference) PVC Pipe Toy Bar Instructions Directions: PVC Pipe Toy Bar Assembly 1) Attach 2 one foot long PVC pipes together with 1 right angle “T” connector to make the toy bar base support 2) Repeat step 1 with 2 more one foot long PVC pipes and 1 more right angle “T” connector 3) Attach 1 four foot long PVC pipe to the remaining opening on each base support 4) Attach corner piece to end of each four foot long PVC pipe 5) Attach 1 two foot long PVC pipe across top in between two “elbow” connectors Toy Attachment 1) Find visually interesting (shiny objects, high contrast objects, noisy objects, and different textured objects). 2) Tie one end of elastic to the object and the other to a shower curtain ring or toy rings 3) Attach ring to toy bar 4) For added interest PVC pipes can be covered with fabric sleeves or duct tape in high contrast colors Designed by Erin http://adaptedworld.wordpress.com/pvc-toy-bargym-instructions/","['opening', '“ corner', 'piping', 'object', 'fabric sleeves', 'toy bar base support', 'PREPPARATION', 'Attach', '” connectors Toy Attachment', 'reference', 'Tie', 'angle “ T ” connector', 'corner ” connector', 'base support', '“ U ” piece', 'middle', 'opening “ corner ” connector', 'ENTRY', 'Toy rings', 'Erin http', 'PVC gym', 'box', '**you', 'diameter PVC piping**', 'Find', 'Attach corner piece', '“', 'crafts stores', 'bar', 'toy rings', 'hardware store', 'duct tape', 'Nine', 'contrast colors', 'PVC Pipe Toy Gym Assembly', 'blindness MATERIALS USED', 'Repeat step', 'Toy Attachment', 'side', 'sleeve', 'PURPOSE', 'top', 'PVC pipes', '“ corner ” connector', 'PVC Gym', 'piece', 'contrast objects', 'PVC pipe cutter', 'PVC Pipe Toy Bar Instructions Directions', 'diameter “ T ” connectors', 'interest PVC pipes', 'Construct top', 'end', '“ T ” connectors', 'diameter “ elbow ” connectors', 'ring', 'PVC', 'band', 'diameter “ corner ” connectors', 'length', 'child', 'PVC pipe', 'fabric', 'structure', 'connector', 'shower curtain ring', 'YOURSELF', '“ U ” side', 'foot PVC pipe', 'angle', 'Construct sides', 'art', 'PVC Pipe Toy Bar Assembly', 'Image', 'gym', 'elbow ” connectors', '“ U ” sides', 'foot', 'Connect', 'Repeat Step']",09/08/2014,https://abledata.acl.gov/product/diy-toy-bargym
267,Virtual Cane,"-- PROTOTYPE --------- PURPOSE: To create a prototype of a handheld device that uses sonar-type technology to create a virtual white cane that allows users who are blind or with low vision navigate within their environment. The Virtual Cane is a handheld device that uses a type of sonar to recognize physical objects up to 10 meters (39 feet) from the user. When pointed at an object, it emits invisible focused sound waves and determines how far away the object is. The information is then relayed to the user via a series of vibrations which vary in intensity depending on the distance. The device is designed to enable an individual who is blind or has low vision to assess the arrangement of surrounding physical objects (such as their size or height) by constantly scanning the environment using sonar similar to the natural sonar of a bat or a dolphin. There is potential for this device to integrate a facial recognition function to distinguish between smiling and sad faces. It may also be used to further research on reorganization of the brain in the blind. The Virtual Cane is easy to learn, lightweight, and features a battery life of up to 12 hours. Currently this device is presented as a prototype but has retail potential through Hebrew University’s research and development company, Yissum. A patent has been filed and Yissum is looking for business partners to further commercial development. It is estimated that the device would eventually cost approximately $100. AUTHOR: Pawel Piejko. TITLE: Virtual Cane - using sonar to help the visually impaired 'see'. WEBSITE: Gizmag. REF: http://www.gizmag.com/virtual-cane/19092.","['REF', 'potential', 'Hebrew University ’', 'information', 'arrangement', 'development company', 'object', 'Virtual Cane', 'height', 'cane', 'blind', 'life', 'Gizmag', 'bat', 'Pawel Piejko', 'series', 'AUTHOR', 'business partners', 'intensity', 'TITLE', 'development', 'brain', 'device', 'patent', 'vision navigate', 'sonar', 'user', 'sound waves', 'reorganization', 'Yissum', '//www.gizmag.com/virtual-cane/19092', 'Cane', 'individual', 'lightweight', 'distance', 'http', 'environment', 'hour', 'size', 'vision', 'research', ""'see"", 'type', 'foot', 'technology', 'recognition function', 'vibration', 'prototype', 'meter', 'WEBSITE', 'dolphin', 'PURPOSE', 'PROTOTYPE']",10/30/2011,https://abledata.acl.gov/product/virtual-cane
268,Diy Talking Shampoo Or Conditioner Bottle,"---- DO IT YOURSELF ENTRY --------- PURPOSE: To create a do-it-yourself auditory alert for a shampoo or conditioner bottle for the elderly and/or individuals with visual impairments. The bottle plays an auditory message (e.g., ""shampoo"" or ""conditioner"") when the lid is opened. The message is intended to help someone differentiate or identify bath products when in the shower or bathing. Step 1: Record a message onto a recordable greeting card. Open and close the card to check that the message has been recorded satisfactorily. Step 2: Tear open the greeting card carefully to reveal the circuitry inside. Inside the card are a speaker, a circuit board, a switch, and the button that is pressed to record the message onto the card. The speaker is activated by opening the card. When the card is opened, the speaker turns on and plays the recorded message. Step 3: With scissors, cut the wires to the record button. The record button on the upper right is connected to the circuit board by two wires. Cut these wires as close to the circuit board as possible. Step 4: Trim excess card stock from around the circuit. The circuit board and speaker, as well as the plastic piece of the switch that activates the speaker when the card is opened should be glued to the card. With the scissors, cut away the excess card stock. DO NOT cut through the plastic piece of the switch that connects to the front flap of the card. Step 5: Wrap the remainder of the card and circuitry in a sheet of plastic wrap. Be sure to wrap it so that the hinge at the plastic switch can still fold over. The goal of wrapping the card in plastic wrap is to make it waterproof. One layer free of holes and securely wrapped should be all that is necessary. Step 6: Using the packing tape, securely tape the plastic-wrapped card to the back of the bottle. One layer of tape should do it. The more tape used, the less likely that the device can be used again on another bottle. Also, tape down the switch to the top of the bottle. When taped correctly, opening the lid of the bottle should activate the speaker. Find the right spot for the card on the bottle and lid before taping it down. If not positioned correctly, the speaker may not go off when the lid is opened. Step 7: When the lid of the shampoo bottle is opened, the speaker activates and speaks the message. It is recommended to test this in the shower to ensure that the speaker is loud enough to be heard over the spray of the shower head (if not taking a bath). In a few tests (3-4 showers), the card has proven to be waterproof. However, it is suggested that the shampoo/conditioner be stored out of the direct ""line of fire"" of the shower spray. TOOLS: Packing tape, A recordable greeting card (with or without music), Scissors, Plastic wrap (e.g. Saran wrap), Shampoo or Conditioner with a lid that pops up to open. SKILLS REQUIRED: Basic craft ability. AUTHOR: JenStar4V. TITLE: Talking Shampoo/Conditioner Bottle for the Elderly/Visually-Impaired. WEBSITE: Instructables. REF: http://www.instructables.com/id/Talking-ShampooConditioner-Bottle-for-th....","['REF', 'layer', 'e.g', 'shower', 'conditioner', 'A', 'record button', 'piece', 'remainder', 'Elderly/Visually-Impaired', 'card stock', 'scissors', 'Conditioner', 'Cut', 'AUTHOR', 'circuit', 'speaker', 'hole', 'message', 'TITLE', 'auditory alert', 'wire', 'JenStar4V', 'Packing tape', 'circuitry', 'line', 'device', 'SKILLS REQUIRED', 'impairment', 'spray', 'hinge', 'Scissors', 'spot', 'flap', 'goal', 'Talking Shampoo/Conditioner Bottle', 'DO NOT', 'someone differentiate', 'switch', 'music', 'Instructables', 'button', 'shower spray', 'circuit board', 'shampoo/conditioner', 'Step', 'IT YOURSELF ENTRY', 'bath products', 'craft ability', 'Plastic wrap', 'Shampoo', 'tape', 'conditioner bottle', 'http', 'wrap', 'fire', 'test', 'and/or individuals', 'bath', 'bathing', 'Open', 'Saran wrap', 'PURPOSE', 'shampoo', 'back', 'shower head', 'bottle', 'card', 'sheet', 'right', 'packing tape', 'TOOLS', 'Record', 'WEBSITE', 'lid', 'top']",09/02/2011,https://abledata.acl.gov/product/diy-talking-shampoo-or-conditioner-bottle
269,LightWriter SL40 Connect,"The LightWriter SL40 Connect is an alternative Augmentative Communication system designed for users who are vocally impaired or have limited speech capability. The device assists the user with face communication, SMS texting, or makes mobile phone calls from this small compact device at home. The SL40 Connect will also allow the user to back up and restore all settings, words and phrases and transfer notes to and from the device to a PC.","['home', 'LightWriter SL40 Connect', 'speech capability', 'PC', 'SL40 Connect', 'Augmentative Communication system', 'SMS texting', 'device', 'setting', 'face communication', 'phone', 'phrase', 'user', 'word', 'note']",08/31/2018,https://abledata.acl.gov/product/lightwriter-sl40-connect
270,Kaye Supine Positioner (Model Sp2),"The Kaye Supine Positioner, model SP2, is a body positioner designed for use with children with neurological, severe physical, or visual disabilities. This unit provides a structure to enable children from one to six years of age to experience visually-directed play in the supine position, encouraging reaching, postural stability of the head and shoulder girdle, visual convergence, visual scanning, and visual attention. The unit consists an adjustable washabel nylon hammock support for the head and shoulders and an easel tray with clamps to hold suspended toys or a mirror. The easel has an arched base to fit over the child's torso and it swings away for positioning and folds for storage. OPTIONS: Safety Mirror. DIMENSIONS (WxH): The easel is 24 x 20 inches. The distance from the head support adjusts to four positions in two-inch increments.","['child', 'Safety Mirror', 'stability', 'structure', 'increment', 'shoulder girdle', 'position', 'swing', 'torso', 'unit', 'head support', 'body positioner', 'age', 'use', 'storage', 'scanning', 'WxH', 'reaching', 'year', 'Kaye Supine Positioner', 'clamp', 'mirror', 'head', 'distance', 'model SP2', 'shoulder', 'disability', 'toy', 'washabel nylon hammock support', 'easel', 'base', 'convergence', 'inch', 'attention', 'DIMENSIONS', 'tray', 'fold', 'play']",09/13/2010,https://abledata.acl.gov/product/kaye-supine-positioner-model-sp2
271,"Nintendo Interface Module & Super Nintendo Interface Module (Model 611, 611-8, 614, 614-8)","The Nintendo and Super Nintendo Interface Modules, model 611 and 611-8, 614, 614-8, are control switch interface units designed for use with the Nintendo or Super Nintendo Entertainment System for individuals who are physically impaired. The units can be used with up to 8 external capability switches. The modules feature top mounted push buttons which can be used to override the actions of the external capability switches (by a teacher or therapist, for example).","['interface units', 'Super Nintendo Interface Modules', 'individual', 'feature top', 'teacher', 'push buttons', 'unit', 'therapist', 'capability switches', 'use', 'Nintendo', 'example', 'model', 'Super Nintendo Entertainment System', 'action']",02/22/2004,https://abledata.acl.gov/product/nintendo-interface-module-super-nintendo-interface-module-model-611-611-8-614-614-8
272,Ball Pool With Net Canopy (Model 1400),"The Ball Pool with Net Canopy, model 1400, is designed to provide tactile stimulation and vestibular and proprioceptive input for clients of all ages with a physical disability. The ball pool provides a number of motor training and visually stimulating activities from just standing in the pool practicing balance to diving in from the side. The larger balls are designed to soften the impact of jumping and diving into the pool. The pool encourages imagination and is ideal for the gravitationally insecure. It has soft rigid sides that offer stability and a padded ledge for sitting. It is easy to clean and store and comes with 2500 three inch multi-colored balls and a canopy. OPTIONS: The Pool, model 1405, is available without balls or net for $1250.00. The Canopy and Supports, model 1401, is sold separately for $329.00. Plastic balls, model 1408, are also sold separately at $169.00 for 500 mixed color balls. Single color balls are aslo available upon request. DIMENSIONS: Pool has 15 inch walls and a six foot diameter. The canopy is eight feet high at center. GUARANTEE: One full year from shipping date.","['stimulation', 'stability', 'center', 'balance', 'Supports', 'vestibular', 'impact', 'foot diameter', 'Single color balls', 'ball', 'age', 'pool', 'jumping', 'request', 'Ball Pool', 'input', 'Net Canopy', 'inch walls', 'year', 'activity', 'net', 'canopy', 'Canopy', 'model', 'disability', 'color balls', 'imagination', 'client', 'motor training', 'Plastic balls', 'number', 'foot', 'side', 'date', 'Pool', 'DIMENSIONS', 'insecure', 'GUARANTEE', 'ledge']",04/23/2003,https://abledata.acl.gov/product/ball-pool-net-canopy-model-1400
273,Phonic Ear Binaural Fm Auditory Training Systems (Model Pe 461),"Phonic Ear FM hearing systems are designed for use in classrooms and all learning environments. They are designed to improve speech intelligibility and extend the critical listening distance for the hearing impaired by providing a controlled sound pressure level of the transmitted voice or of sounds from radio, TV, tape recorder or any audio source. The PE 461 transmitter is available with a directional or omni-directional lapel microphone. The PE 461 receiver has seven adjustable output settings and 5 actively filtered frequency responses for each ear. The receiver may be used with standard button transducers, behind-the-ear transducers, or coupled to an individual hearing aid. Long life snap on rechargeable battery packs or replaceable batteries may be used. 32 narrow band transmission channels are available.","['hearing', 'button transducers', 'hearing aid', 'radio', 'listening distance', 'battery', 'transducer', 'life snap', 'use', 'sound pressure level', 'band transmission channels', 'TV', 'frequency responses', 'output settings', 'Ear FM', 'system', 'speech intelligibility', 'source', 'PE', 'transmitter', 'classroom', 'battery packs', 'ear', 'environment', 'sound', 'voice', 'tape recorder', 'microphone', 'receiver']",04/23/2003,https://abledata.acl.gov/product/phonic-ear-binaural-fm-auditory-training-systems-model-pe-461
274,Fun And Games: An Interactive Book For Memory Impaired Adults,"Fun and Games, written by Matthew Schneider and Deborah Drapac, is one of a collection of eight interactive books designed specifically to enhance the quality of communication between caregivers and adults experiencing memory loss. Through its vivid photography and large-print text written in clear, concise, and easy-to-read sentences, these books have been developed to evoke memories, initiate conversation, and supply mental and physical stimulation. Each book is comprised of three unique sections:
• The Story - Designed to entertain, inform, inspire, and/or educate; evoke memories and encourage opportunities to reminisce; and foster an interest in reading.
• Conversation Starters - Feature a combination of close-ended (yes or no) and open-ended questions that directly correlate to individual sets of pages from the story; are designed to prompt a dialog from past experiences, events and/or relationships; and provide an opportunity to share special memories and unique experiences.
• Activities - Designed to provide additional mental and physical enrichment; are based on sensory stimulation, creative expression, and physical movement; and correspond to the overall theme of each book.The interactive book, Fun and Games, awakens fond memories of popular sports and leisure activities with vintage, sepia-tone photographs and personal recollections. From bowling to badminton, each page reflects on a childhood memory, bringing the reader back to a simpler, carefree time. This book includes reminiscent memories, innovative conversation starters, and practical activities.FORMAT: Hardcover
LENGTH: 64 pages
DIMENSIONS: 8.5"" x 10.5""","['stimulation', 'text', 'book.The', 'educate', 'vintage', 'Fun', 'Story', 'Games', 'dialog', 'combination', 'recollection', 'memory', 'page', 'sport', 'movement', 'experience', 'adult', 'interest', 'question', 'Conversation Starters', 'communication', 'supply', 'event', 'leisure activities', 'conversation starters', 'share', 'mental', 'book', 'sentence', 'memory loss', 'x', 'story', 'opportunity', 'conversation', 'set', 'Deborah Drapac', 'inspire', 'correspond', 'childhood memory', 'photograph', 'theme', 'Matthew Schneider', 'concise', 'quality', 'caregiver', 'enrichment', 'time', 'collection', 'simpler', 'section', 'Hardcover LENGTH', 'Feature', 'vivid photography', 'relationship', 'expression', 'activities.FORMAT', 'pages DIMENSIONS', '• Activities', 'reader']",04/06/2014,https://abledata.acl.gov/product/fun-and-games-interactive-book-memory-impaired-adults
275,Color Change Timer,"The Color Change Timer is a color, sound and light alert timer designed for both hearing or sight-impaired individuals. Once the time is set, the timer will pulse green, at 10 minutes it changes to pulse yellow. For the final minute, the timer pulses red and sounds a bell alarm.POWER: 2 AAA batteries.
SIZES: One size.
DIMENSIONS: 4 inches diameter x 2.5 inches high.
COLOR: White (base).
WARRANTY/GUARANTEE: As stated by the manufacturer.","['Color Change Timer', 'hearing', 'SIZES', 'bell alarm.POWER', 'COLOR', 'White', 'manufacturer', 'color', 'individual', 'minute', 'timer pulses', 'sound', 'base', 'time', 'size', 'yellow', 'timer', 'inch', 'AAA batteries', 'WARRANTY/GUARANTEE', 'DIMENSIONS']",07/17/2014,https://abledata.acl.gov/product/color-change-timer
276,iThoughts (Mindmap),"iThoughts is a mindmapping tool for the iPad, iPhone and iPod touch that is designed for individuals who find it difficult to organize their thoughts and/or remember information, people with mental illness or learning disabilities, or visual learners. It enables the user to visually organize their thoughts, ideas, and information. SIZE: 35.9 Megabytes. LANGUAGE: English.","['touch', 'idea', 'individual', 'information', 'iThoughts', 'thought', 'illness', 'SIZE', 'tool', 'learning disabilities', 'Megabytes', 'people', 'LANGUAGE', 'iPhone', 'user', 'learner', 'remember information', 'iPad']",08/12/2014,https://abledata.acl.gov/product/ithoughts-mindmap
277,Light Switch Extension,"The Light Switch Extension is an adaptive tool that provides an alternative way for wheelchair users, individuals of short stature, and people with limited mobility or impaired vision to access light switches. The Light Switch Extension is an unbreakable, clear rod that can be “slipped” over almost any standard light switch. No tools are required for installation. And because of its unobtrusive design and clear color, the Light Switch Extension can blend in with any décor. Moreover, it does not interfere with normal use or lighted switches, and can be removed easily from any switch. As a result, users can take the Light Switch Extension with them on their travels and have better access to light switches wherever they go.SIZE: Approximately 12 inches long.","['”', 'Light Switch Extension', 'tool', 'mobility', 'stature', 'wheelchair users', 'rod', 'use', 'access', 'installation', 'people', 'color', 'user', 'switch', 'result', 'light switch', 'way', 'individual', 'design', 'vision', 'travel', 'inch', 'décor']",10/22/2014,https://abledata.acl.gov/product/light-switch-extension-0
